Sample.name,Group,Sex
SH0001,con_nd_ndi+,F
SH0002,con_nd,M
SH0003,con_nd,F
SH0004,con_nd,F
SH0005,ko_nd_ndi+,M
SH0006,con_nd_ndi+,F
SH0007,con_nd_ndi+,F
SH0008,ko_nd_ndi+,F
SH0009,ko_nd,F
SH0010,ko_nd,F
SH0011,con_nd,F
SH0012,ko_nd,F
SH0013,ko_nd,M
SH0014,con_nd_ndi+,F
SH0015,ko_nd_ndi+,M
SH0016,ko_nd_ndi+,M
SH0017,ko_nd,M
SH0018,con_nd,F
SH0019,con_nd,F
SH0020,ko_nd,M
SH0021,con_nd,M
SH0022,ko_nd_ndi+,M
SH0023,ko_nd_ndi+,M
SH0024,ko_nd_ndi+,F
SH0025,ko_nd_ndi+,F
SH0026,ko_nd,F
SH0027,con_nd_ndi+,M
SH0028,con_nd,M
SH0029,con_nd_ndi+,M
SH0030,con_nd_ndi+,M
P6_1,Control,M
P6_2,Control,M
P6_3,KO,F
P6_4,KO,M
P6_5,Control,F
P6_6,KO,M
P6_7,Control,F
P6_8,Control,F
P6_9,KO,F
P6_10,KO,M
P6_11,KO,F
P6_12,Control,M
