Sample.name,Group,sex
SH0002,Ndufs2 Control,M
SH0003,Ndufs2 Control,F
SH0004,Ndufs2 Control,F
SH0009,Ndufs2 cKO,F
SH0010,Ndufs2 cKO,F
SH0011,Ndufs2 Control,F
SH0012,Ndufs2 cKO,F
SH0013,Ndufs2 cKO,M
SH0017,Ndufs2 cKO,M
SH0018,Ndufs2 Control,F
SH0019,Ndufs2 Control,F
SH0020,Ndufs2 cKO,M
SH0021,Ndufs2 Control,M
SH0026,Ndufs2 cKO,F
SH0028,Ndufs2 Control,M
SH001,Sdhd cKO,M
SH004,Sdhd Control,F
SH005,Sdhd cKO,F
SH006,Sdhd Control,F
SH007,Sdhd cKO,F
SH008,Sdhd cKO,F
SH009,Sdhd Control,M
SH010,Sdhd Control,M
SH011,Sdhd Control,F
SH012,Sdhd cKO,M
SH013,Sdhd Control,M
SH015,Sdhd cKO,M
SH016,Sdhd cKO,M
